                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.65731,                 1.3711,                 1.1165,                0.49788,                0.84682,                0.68414,                0.60438,                0.49888,                 1.8908,                0.94983,             0.00059405,             0.00059405,             0.00059405
                     49,                0.64246,                 1.3529,                 1.0653,                0.43311,                0.77008,                0.61785,                0.52545,                0.49918,                 2.0229,                0.94186,             0.00058305,             0.00058305,             0.00058305
                     50,                0.75511,                 1.4579,                 1.1916,                0.43169,                0.84286,                0.62011,                0.51211,                0.54861,                 2.2032,                0.95409,             0.00057205,             0.00057205,             0.00057205
                     51,                0.62595,                 1.3368,                 1.0575,                0.45757,                0.88206,                0.65701,                0.55839,                0.50334,                 1.8917,                0.92657,             0.00056105,             0.00056105,             0.00056105
                     52,                0.53881,                 1.2567,                 1.0388,                0.45757,                0.88206,                0.65701,                0.55839,                0.50334,                 1.8917,                0.92657,             0.00055006,             0.00055006,             0.00055006
                     53,                0.59001,                 1.3131,                 1.0233,                0.49124,                 0.8446,                0.69213,                 0.5993,                0.48952,                 1.5687,                0.91176,             0.00053906,             0.00053906,             0.00053906
                     54,                0.71943,                 1.3547,                 1.1455,                0.60217,                0.76541,                0.74471,                0.64855,                0.47692,                 1.4917,                0.90302,             0.00052806,             0.00052806,             0.00052806
                     55,                0.60283,                 1.4002,                 1.0779,                0.64662,                0.90796,                0.83833,                0.73232,                0.46747,                 1.4888,                0.89851,             0.00051706,             0.00051706,             0.00051706
                     56,                0.60101,                 1.2771,                 1.0424,                0.64662,                0.90796,                0.83833,                0.73232,                0.46747,                 1.4888,                0.89851,             0.00050606,             0.00050606,             0.00050606
                     57,                0.62613,                    1.3,                 1.0839,                0.60981,                0.97781,                0.82246,                0.70499,                0.48099,                 1.6139,                0.90744,             0.00049506,             0.00049506,             0.00049506
                     58,                0.57959,                 1.2729,                  1.076,                0.60274,                0.98875,                0.80165,                 0.7109,                0.43039,                 1.6016,                0.88656,             0.00048406,             0.00048406,             0.00048406
                     59,                0.66405,                 1.3771,                 1.0578,                0.61903,                0.89875,                0.83076,                0.77623,                0.39299,                 1.4448,                0.88253,             0.00047306,             0.00047306,             0.00047306
                     60,                0.58778,                 1.2324,                 1.0486,                0.61903,                0.89875,                0.83076,                0.77623,                0.39299,                 1.4448,                0.88253,             0.00046206,             0.00046206,             0.00046206
                     61,                0.56376,                 1.2723,                 1.0751,                0.73793,                  0.789,                0.83757,                  0.787,                0.37553,                 1.3926,                0.89154,             0.00045107,             0.00045107,             0.00045107
                     62,                0.60505,                 1.3771,                  1.085,                0.61447,                0.91721,                0.82189,                0.76885,                0.37442,                 1.3269,                0.89469,             0.00044007,             0.00044007,             0.00044007
                     63,                0.51787,                 1.2035,                 1.0198,                0.51371,                0.88501,                0.74413,                0.69135,                0.36123,                 1.3424,                  0.886,             0.00042907,             0.00042907,             0.00042907
                     64,                0.51803,                 1.1726,                  1.028,                0.51371,                0.88501,                0.74413,                0.69135,                0.36123,                 1.3424,                  0.886,             0.00041807,             0.00041807,             0.00041807
                     65,                0.52572,                  1.311,                 1.0452,                0.58379,                0.77492,                0.76739,                0.70717,                0.35334,                 1.2926,                0.88905,             0.00040707,             0.00040707,             0.00040707
                     66,                  0.542,                 1.2166,                 1.0237,                0.74612,                0.70844,                0.83081,                0.77449,                0.34124,                 1.2096,                0.88091,             0.00039607,             0.00039607,             0.00039607
                     67,                0.54848,                 1.1464,                 1.0317,                0.61791,                0.91854,                0.84531,                0.79123,                0.33154,                 1.2086,                0.87555,             0.00038507,             0.00038507,             0.00038507
                     68,                0.47442,                 1.0773,                0.98306,                0.61791,                0.91854,                0.84531,                0.79123,                0.33154,                 1.2086,                0.87555,             0.00037407,             0.00037407,             0.00037407
                     69,                0.52985,                 1.1874,                 1.0298,                0.60928,                0.94428,                0.83967,                0.79542,                0.32869,                 1.1675,                0.87534,             0.00036307,             0.00036307,             0.00036307
                     70,                0.56939,                 1.1442,                 1.0324,                0.63092,                0.96212,                0.89633,                0.86018,                0.32917,                  1.101,                0.87057,             0.00035208,             0.00035208,             0.00035208
                     71,                 0.5611,                   1.19,                 1.0664,                0.66214,                0.97842,                0.90826,                 0.8756,                0.32362,                 1.0888,                0.86555,             0.00034108,             0.00034108,             0.00034108
                     72,                0.53219,                 1.1675,                 1.0369,                0.66214,                0.97842,                0.90826,                 0.8756,                0.32362,                 1.0888,                0.86555,             0.00033008,             0.00033008,             0.00033008
                     73,                 0.5266,                 1.1008,                 1.0438,                0.67729,                0.92642,                0.90459,                0.86788,                0.32909,                 1.1205,                0.86877,             0.00031908,             0.00031908,             0.00031908
                     74,                0.55211,                 1.1002,                 1.0485,                0.66229,                0.89972,                0.88197,                0.84101,                0.32967,                 1.1647,                0.86706,             0.00030808,             0.00030808,             0.00030808
                     75,                0.49813,                 1.2088,                 1.0522,                0.63169,                0.87059,                0.86192,                0.80888,                0.32956,                 1.2156,                 0.8656,             0.00029708,             0.00029708,             0.00029708
                     76,                0.48545,                 1.1883,                 1.0075,                0.63169,                0.87059,                0.86192,                0.80888,                0.32956,                 1.2156,                 0.8656,             0.00028608,             0.00028608,             0.00028608
                     77,                0.47713,                 1.1786,                  1.008,                0.68387,                0.78952,                0.86911,                0.81748,                 0.3278,                 1.2246,                0.86511,             0.00027508,             0.00027508,             0.00027508
                     78,                0.48084,                 1.2915,                0.98306,                0.73814,                0.80124,                0.90345,                0.85884,                0.33463,                 1.1669,                0.86857,             0.00026408,             0.00026408,             0.00026408
                     79,                0.53139,                 1.0699,                 1.0253,                0.87756,                0.83113,                0.93933,                0.89559,                 0.3304,                 1.0933,                0.87485,             0.00025309,             0.00025309,             0.00025309
                     80,                0.48624,                 1.0567,                 1.0031,                0.87756,                0.83113,                0.93933,                0.89559,                 0.3304,                 1.0933,                0.87485,             0.00024209,             0.00024209,             0.00024209
                     81,                0.56701,                 1.1548,                 1.0771,                0.88114,                0.86606,                0.94865,                0.90055,                0.32811,                 1.0305,                0.88115,             0.00023109,             0.00023109,             0.00023109
                     82,                0.53375,                 1.0791,                 1.0369,                0.84279,                0.87246,                0.95852,                 0.9092,                0.32909,                0.97436,                0.88596,             0.00022009,             0.00022009,             0.00022009
                     83,                0.42651,                 1.0088,                 1.0036,                0.87362,                0.91429,                0.95933,                0.91113,                0.32964,                0.92712,                0.89042,             0.00020909,             0.00020909,             0.00020909
